	G1_rep1	G1_rep2	G1_rep3	G2_rep1	G2_rep2	G2_rep3
gene_4923	0	0	0	1	1	0
gene_4924	8	7	5	7	3	8
gene_4925	457	638	813	995	685	451
gene_4926	8	13	19	22	13	9
gene_4927	85	37	96	125	86	52
gene_4928	57	99	97	80	65	63
gene_4929	162	63	0	0	0	0
gene_4930	22	64	32	44	28	41
gene_4931	7	12	15	8	3	11
gene_4932	1	4	4	0	3	1
gene_4933	0	0	0	0	6	1
gene_4934	25	29	37	37	42	39
gene_4935	44	45	40	32	28	43
gene_4936	57	49	58	72	76	65
gene_4937	18	26	24	25	29	14
gene_4938	1	3	1	4	0	0
gene_4939	20	6	17	16	19	16
gene_4940	0	0	0	1	0	0
gene_4941	17	13	30	6	17	16
gene_4942	11	8	16	5	3	6
gene_4943	1	0	3	1	0	0
gene_4944	5	8	7	12	7	7
gene_4945	1	3	1	2	0	0
gene_4946	62	89	75	72	48	60
gene_4947	7	4	23	15	24	21
gene_4948	11	11	9	12	13	5
gene_4949	0	0	0	0	2	1
gene_4950	15	13	14	16	27	16
gene_4951	13	19	32	14	9	9
gene_4952	394	694	447	480	501	117
gene_4953	0	0	0	12	6	3
gene_4954	15	27	12	17	28	22
gene_4955	91	165	174	103	168	245
gene_4956	4	0	0	2	2	10
gene_4957	1	0	0	2	0	1
gene_4958	140	176	130	106	124	162
gene_4959	51	35	44	41	35	25
gene_4960	5	19	0	0	4	0
gene_4961	133	123	156	134	188	141
gene_4962	13	13	10	17	16	10
gene_4963	30	29	33	21	38	49
gene_4964	96	72	37	20	8	31
gene_4965	0	0	0	0	1	0
gene_4966	24	40	17	32	70	26
gene_4967	3	3	10	4	6	0
gene_4968	48	40	44	42	50	48
gene_4969	131	151	74	141	116	120
gene_4970	4	5	26	2	5	12
gene_4971	1	1	9	1	6	0
gene_4972	117	68	35	112	102	65
gene_4973	6	0	5	2	2	10
gene_4974	12	7	8	12	5	15
gene_4975	19	13	19	28	12	54
gene_4976	77	88	92	123	98	130
gene_4977	111	94	113	62	103	104
gene_4978	2	4	1	5	1	1
gene_4979	68	20	69	63	71	90
gene_4980	36	29	25	14	25	24
gene_4981	0	0	1	0	0	6
gene_4982	45	30	46	39	23	15
gene_4983	18	14	8	34	19	13
gene_4984	24	11	29	10	9	12
gene_4985	0	0	0	0	0	0
gene_4986	86	217	359	310	466	411
gene_4987	1	1	2	1	2	4
gene_4988	3	1	5	3	3	0
gene_4989	25	29	19	33	13	26
gene_4990	21	23	9	18	33	47
gene_4991	62	55	48	86	51	39
gene_4992	1	2	0	0	0	1
gene_4993	9	2	13	33	21	41
gene_4994	0	0	0	2	0	0
gene_4995	18	42	17	32	36	32
gene_4996	8	26	24	19	20	22
gene_4997	0	5	0	0	3	0
gene_4998	104	97	108	91	100	92
gene_4999	38	41	32	33	32	30
gene_5000	6	0	3	1	1	16
gene_5001	156	259	269	88	177	134
gene_5002	1	1	1	4	1	6
gene_5003	290	250	207	262	213	275
gene_5004	80	108	96	33	59	142
gene_5005	17	17	21	28	24	23
gene_5006	2	2	6	7	8	5
gene_5007	0	30	3	0	6	7
gene_5008	4	11	0	0	0	0
gene_5009	1	0	0	1	0	2
gene_5010	82	26	56	43	51	101
gene_5011	0	0	2	0	0	0
gene_5012	101	74	86	104	79	90
gene_5013	10	17	10	15	9	10
gene_5014	0	0	1	1	0	1
gene_5015	35	58	52	26	50	50
gene_5016	10	9	31	7	7	24
gene_5017	158	108	134	135	135	145
gene_5018	218	135	218	354	247	310
gene_5019	2	4	11	3	0	4
gene_5020	58	5	0	3	11	0
gene_5021	53	36	39	0	22	32
gene_5022	11	4	8	1	11	1
gene_5023	122	163	109	234	186	132
gene_5024	2988	4843	1688	3955	1267	2811
gene_5025	0	0	1	0	0	5
gene_5026	4	3	1	1	3	2
gene_5027	0	2	1	0	0	1
gene_5028	7	4	2	5	3	4
gene_5029	693	424	467	563	269	259
gene_5030	3	20	18	56	3	16
gene_5031	6	9	11	8	17	11
gene_5032	18	12	30	24	11	12
gene_5033	20	31	24	25	20	35
gene_5034	62	46	91	62	39	49
gene_5035	164	169	132	135	181	168
gene_5036	22	8	6	15	51	42
gene_5037	16	11	18	27	33	9
gene_5038	172	99	93	70	131	118
gene_5039	16	18	18	17	11	10
gene_5040	34	28	20	8	7	10
gene_5041	25	14	4	18	27	30
gene_5042	20	0	41	0	0	59
gene_5043	23	3	16	7	19	27
gene_5044	6	9	14	53	2	27
gene_5045	79	93	97	98	126	113
gene_5046	364	371	402	457	356	382
gene_5047	0	1	1	0	23	0
gene_5048	6	2	2	5	4	5
gene_5049	1	2	1	2	2	1
gene_5050	43	27	24	32	61	7
gene_5051	34	43	17	35	38	21
gene_5052	29	27	18	15	16	16
gene_5053	55	122	84	56	125	120
gene_5054	277	217	207	206	235	154
gene_5055	62	38	51	106	88	67
gene_5056	13	49	13	18	19	21
gene_5057	72	76	58	85	71	75
gene_5058	41	15	29	125	42	56
gene_5059	98	137	130	130	101	126
gene_5060	0	3	0	0	6	0
gene_5061	2	3	21	0	1	0
gene_5062	0	9	2	0	0	1
gene_5063	1	0	1	1	1	3
gene_5064	4	0	0	0	2	0
gene_5065	1362	1155	394	674	602	701
gene_5066	19	15	27	27	38	25
gene_5067	35	3	17	15	9	42
gene_5068	3	8	4	6	2	5
gene_5069	0	20	1	8	0	15
gene_5070	37	19	42	21	8	121
gene_5071	23	40	42	20	6	7
gene_5072	53	78	46	40	61	114
gene_5073	1	1	1	26	3	19
gene_5074	19	15	10	11	15	23
gene_5075	31	17	24	9	17	15
gene_5076	32	19	25	28	30	38
gene_5077	553	434	432	478	496	498
gene_5078	208	194	154	117	151	140
gene_5079	71	63	58	57	79	63
gene_5080	33	18	14	8	12	3
gene_5081	149	96	105	91	97	99
gene_5082	6	2	5	0	8	5
gene_5083	178	67	63	132	68	69
gene_5084	0	0	12	2	5	0
gene_5085	3	2	0	0	4	0
gene_5086	0	18	0	2	0	1
gene_5087	18	16	10	14	9	5
gene_5088	1	8	8	0	0	2
gene_5089	3	3	32	18	6	13
gene_5090	10	11	19	8	5	45
gene_5091	313	209	387	284	377	304
gene_5092	284	321	331	330	329	320
gene_5093	1	2	2	0	10	2
gene_5094	14	8	17	8	28	29
gene_5095	8	3	0	0	6	3
gene_5096	1695	2183	2164	1988	1782	1624
gene_5097	62	58	72	26	63	140
gene_5098	240	82	127	150	182	150
gene_5099	5	1	2	3	3	1
gene_5100	0	0	2	2	3	0
gene_5101	32	24	33	37	35	43
gene_5102	27	22	4	28	11	10
gene_5103	35	41	43	36	40	26
gene_5104	1	0	0	16	5	2
gene_5105	8	7	12	9	10	9
gene_5106	40	44	25	50	36	41
gene_5107	68	65	68	57	61	68
gene_5108	2	0	6	0	1	0
gene_5109	8	11	13	15	11	15
gene_5110	148	187	278	349	169	239
gene_5111	166	190	215	83	158	263
gene_5112	3	1	1	0	0	4
gene_5113	0	1	2	2	0	5
gene_5114	5	3	0	5	5	4
gene_5115	96	26	4	35	86	30
gene_5116	0	20	2	2	0	2
gene_5117	11	11	15	26	18	8
gene_5118	18	29	18	14	22	10
gene_5119	3	1	7	2	16	0
gene_5120	0	1	0	1	0	1
gene_5121	0	3	1	1	0	1
gene_5122	13	52	16	24	36	31
gene_5123	0	0	3	0	0	0
gene_5124	49	46	39	16	38	32
gene_5125	194	173	172	276	141	170
gene_5126	6	24	3	1	2	3
gene_5127	5	8	2	4	13	10
gene_5128	240	305	277	228	233	247
gene_5129	5	7	17	8	11	8
gene_5130	1	21	32	5	54	38
gene_5131	13	8	3	0	18	85
gene_5132	1	0	6	0	0	7
gene_5133	0	0	0	0	1	6
gene_5134	0	0	0	3	1	0
gene_5135	32	36	41	28	22	31
gene_5136	4	11	1	1	0	0
gene_5137	0	12	0	0	0	0
gene_5138	4	2	0	3	1	0
gene_5139	204	124	182	163	185	170
gene_5140	27	9	21	20	6	20
gene_5141	2	3	2	7	4	0
gene_5142	205	68	112	134	390	134
gene_5143	32	27	48	26	28	48
gene_5144	0	0	2	2	1	1
gene_5145	9	18	1	14	17	5
gene_5146	54	35	108	110	1	20
gene_5147	39	27	37	54	48	49
gene_5148	11	6	1	14	0	4
gene_5149	8	4	18	16	10	8
gene_5150	27	35	26	18	29	19
gene_5151	44	61	34	31	27	49
gene_5152	96	112	81	93	89	99
gene_5153	90	137	172	128	138	106
gene_5154	3	9	4	1	4	6
gene_5155	0	2	4	2	1	2
gene_5156	33	41	92	6	20	79
gene_5157	22	4	1	1	23	15
gene_5158	88	75	69	45	40	101
gene_5159	138	137	130	141	168	100
gene_5160	2	5	2	1	0	18
gene_5161	8	11	15	10	17	5
gene_5162	100	211	147	457	318	139
gene_5163	93	143	98	55	54	124
gene_5164	41	42	39	42	44	28
gene_5165	137	144	134	173	159	138
gene_5166	15	17	20	9	26	20
gene_5167	50	60	83	42	72	54
gene_5168	7	4	3	1	4	3
gene_5169	352	594	586	460	519	680
gene_5170	93	159	57	13	175	45
gene_5171	1	1	0	0	0	0
gene_5172	14	6	16	20	19	16
gene_5173	0	1	0	1	8	2
gene_5174	25	14	22	16	26	47
gene_5175	11	29	26	31	38	44
gene_5176	24	16	25	31	13	9
gene_5177	207	190	302	304	336	208
gene_5178	0	0	0	0	0	1
gene_5179	18	31	35	22	10	26
gene_5180	47	45	40	123	18	63
gene_5181	11	0	1	1	0	0
gene_5182	29	10	34	23	6	6
gene_5183	1	2	0	2	34	36
gene_5184	50	58	46	31	10	29
gene_5185	24	56	58	53	38	53
gene_5186	182	195	194	229	136	192
gene_5187	58	164	298	85	157	165
gene_5188	0	0	1	3	0	0
gene_5189	117	142	147	150	124	107
gene_5190	25	18	31	30	11	9
gene_5191	65	66	130	16	15	22
gene_5192	923	1041	1355	1032	1012	608
gene_5193	27	26	25	30	13	23
gene_5194	47	58	28	15	42	31
gene_5195	163	144	118	118	121	143
gene_5196	18	11	8	6	19	10
gene_5197	6	2	5	5	2	1
gene_5198	5	0	0	0	2	2
gene_5199	30	8	42	36	32	36
gene_5200	16	15	5	15	10	7
gene_5201	73	82	66	181	22	281
gene_5202	11	25	8	37	5	27
gene_5203	9	14	14	5	13	19
gene_5204	2	7	0	1	1	1
gene_5205	75	92	42	47	59	57
gene_5206	247	256	243	296	254	260
gene_5207	218	139	115	86	300	83
gene_5208	11	8	23	34	17	11
gene_5209	10	16	29	9	9	10
gene_5210	30	31	28	35	48	31
gene_5211	2796	2099	2311	2300	3596	2575
gene_5212	75	21	12	20	36	52
gene_5213	1	1	5	3	0	2
gene_5214	6	4	0	11	1	1
gene_5215	18	2	10	28	8	1
gene_5216	89	97	121	105	113	110
gene_5217	1380	873	1203	2871	1993	1513
gene_5218	0	4	0	0	0	0
gene_5219	4	1	9	17	4	23
gene_5220	36	16	16	18	16	9
gene_5221	21	14	8	27	40	16
gene_5222	135	110	82	71	155	103
gene_5223	5	2	8	5	1	3
gene_5224	5	7	4	1	15	5
gene_5225	30	47	36	27	41	48
gene_5226	1	0	0	0	0	0
gene_5227	7	29	9	11	4	13
gene_5228	20	20	9	29	21	39
gene_5229	0	3	1	3	6	0
gene_5230	35	47	30	28	30	40
gene_5231	147	163	145	94	110	73
gene_5232	10	11	6	19	20	16
gene_5233	174	157	236	160	100	164
gene_5234	0	0	0	0	1	0
gene_5235	1	1	2	2	4	0
gene_5236	10	9	8	9	13	9
gene_5237	0	0	0	2	0	0
gene_5238	114	55	197	140	144	83
gene_5239	12	21	14	14	15	8
gene_5240	2	0	1	1	0	3
gene_5241	58	25	45	72	19	132
gene_5242	3	2	1	1	2	3
gene_5243	18	171	746	295	64	360
gene_5244	78	61	83	73	87	52
gene_5245	0	0	1	3	0	1
gene_5246	45	129	165	53	167	66
gene_5247	32	45	86	82	101	73
gene_5248	1061	1031	1951	1403	1202	1127
gene_5249	89	61	40	77	1	3
gene_5250	10	7	14	12	20	21
gene_5251	18	37	46	51	40	15
gene_5252	62	95	86	68	93	63
gene_5253	89	29	87	65	53	81
gene_5254	1	0	0	0	0	0
gene_5255	112	51	119	109	119	125
gene_5256	2	0	7	14	0	1
gene_5257	0	1	0	1	0	0
gene_5258	48	45	40	64	42	61
gene_5259	201	194	224	255	215	203
gene_5260	30	13	27	25	29	28
gene_5261	121	70	142	266	219	162
gene_5262	1	0	1	0	0	4
gene_5263	1	2	1	0	0	0
gene_5264	13	51	23	51	54	34
gene_5265	35	48	55	25	32	82
gene_5266	59	72	58	51	46	34
gene_5267	11	21	37	9	8	26
gene_5268	2	0	5	1	2	3
gene_5269	0	4	0	0	0	1
gene_5270	26	15	12	3	0	0
gene_5271	13	14	5	0	14	7
gene_5272	235	210	241	179	255	147
gene_5273	665	519	944	427	404	1323
gene_5274	23	30	26	18	10	22
gene_5275	2033	2366	1774	932	1871	2721
gene_5276	9	10	4	3	11	37
gene_5277	39	33	43	42	41	57
gene_5278	88	279	144	177	165	11
gene_5279	37	18	34	29	33	19
gene_5280	12	15	13	24	19	10
gene_5281	7	0	10	6	0	27
gene_5282	12	78	19	10	20	11
gene_5283	6	3	1	3	3	0
gene_5284	1	1	0	1	0	0
gene_5285	30	31	55	16	38	26
gene_5286	93	73	79	96	83	74
gene_5287	19	37	91	48	54	15
gene_5288	26	23	57	9	115	63
gene_5289	0	8	5	0	0	3
gene_5290	0	0	6	0	3	1
gene_5291	1	1	0	0	0	1
gene_5292	249	219	255	204	260	231
gene_5293	172	59	79	266	105	144
gene_5294	59	66	64	41	71	71
gene_5295	59	30	25	20	50	30
gene_5296	1	3	1	8	1	1
gene_5297	33	34	14	11	25	27
gene_5298	4	0	1	3	4	0
gene_5299	1	0	3	1	1	1
gene_5300	35	13	0	7	5	0
gene_5301	11	22	22	29	27	10
gene_5302	13	1	8	0	0	0
gene_5303	9	8	19	34	38	7
gene_5304	3	2	1	1	0	0
gene_5305	61	71	68	67	65	83
gene_5306	42	48	58	40	41	51
gene_5307	278	363	146	104	267	155
gene_5308	30	5	116	7	50	112
gene_5309	67	52	81	77	66	55
gene_5310	2	0	4	6	1	0
gene_5311	133	93	53	125	65	98
gene_5312	14	12	9	35	20	10
gene_5313	1	0	0	1	0	0
gene_5314	24	32	27	13	32	34
gene_5315	3	2	7	1	1	5
gene_5316	31	0	18	1	3	2
gene_5317	3	16	9	7	3	4
gene_5318	191	162	227	135	288	244
gene_5319	167	358	149	332	487	320
gene_5320	43	46	45	42	70	39
gene_5321	33	17	21	32	26	17
gene_5322	220	211	257	155	218	235
gene_5323	1	8	2	10	8	4
gene_5324	51	38	51	53	35	53
gene_5325	29	7	1	1	32	4
gene_5326	92	136	124	60	105	99
gene_5327	7	18	2	0	0	1
gene_5328	3	60	11	32	72	75
gene_5329	58	63	66	37	60	53
gene_5330	3	2	7	9	2	5
gene_5331	0	2	4	0	0	0
gene_5332	0	0	0	0	0	0
gene_5333	13	6	11	9	13	16
gene_5334	11	15	24	8	6	38
gene_5335	186	262	194	528	271	553
gene_5336	156	254	240	203	169	195
gene_5337	53	112	82	37	80	106
gene_5338	200	153	241	286	149	156
gene_5339	5	2	1	1	1	1
gene_5340	30	17	15	28	31	20
gene_5341	32	43	55	6	21	17
gene_5342	488	408	390	396	303	377
gene_5343	8	6	0	8	0	2
gene_5344	36	32	17	41	31	28
gene_5345	391	427	304	271	587	705
gene_5346	9	0	4	0	0	0
gene_5347	13	20	12	8	13	13
gene_5348	9	2	2	6	5	17
gene_5349	0	1	0	3	0	0
gene_5350	96	158	101	135	176	122
gene_5351	36	9	97	9	48	28
gene_5352	10	7	5	6	8	8
gene_5353	85	103	34	32	74	63
gene_5354	16	7	4	22	29	1
gene_5355	3	3	1	4	8	3
gene_5356	469	525	680	441	484	391
gene_5357	25	10	12	49	25	16
gene_5358	1	1	0	0	0	1
gene_5359	6	0	55	15	12	0
gene_5360	0	2	0	28	1	0
gene_5361	1	3	9	22	10	4
gene_5362	4	4	0	0	1	0
gene_5363	6	1	4	1	4	0
gene_5364	6	9	34	51	2	10
gene_5365	15	0	1	2	3	0
gene_5366	12258	7854	14574	9612	4519	6010
gene_5367	308	353	136	199	292	193
gene_5368	21	14	13	13	19	35
gene_5369	34	26	49	17	44	41
gene_5370	1	1	15	6	0	1
gene_5371	0	9	5	3	0	15
gene_5372	61	68	49	63	49	90
gene_5373	28	24	25	13	32	34
gene_5374	14	57	26	87	34	57
gene_5375	487	207	304	536	343	213
gene_5376	233	254	299	237	212	256
gene_5377	57	49	48	36	32	107
gene_5378	0	0	1	1	0	2
gene_5379	0	14	8	10	5	2
gene_5380	24	69	35	53	68	47
gene_5381	45	68	99	34	84	44
gene_5382	24	10	8	11	18	16
gene_5383	102	81	115	60	94	83
gene_5384	1	1	1	1	2	3
gene_5385	1	0	1	0	0	2
gene_5386	0	1	0	0	0	2
gene_5387	44	17	5	22	17	48
gene_5388	24	75	58	75	78	67
gene_5389	87	111	138	118	103	111
gene_5390	49	41	45	45	58	49
gene_5391	18	0	3	0	0	1
gene_5392	39	12	36	25	34	23
gene_5393	10	0	2	101	11	21
gene_5394	0	6	1	1	6	1
gene_5395	2	1	2	1	0	4
gene_5396	2	0	0	6	0	0
gene_5397	13	1	1	10	10	1
gene_5398	5	0	0	2	0	1
gene_5399	1	3	0	0	12	0
gene_5400	6	7	30	47	83	13
gene_5401	0	1	0	0	0	0
gene_5402	78	83	48	59	58	24
gene_5403	106	145	174	276	157	171
gene_5404	3	7	1	1	2	0
gene_5405	258	120	215	279	127	259
gene_5406	0	0	0	1	0	0
gene_5407	18	22	18	13	27	17
gene_5408	11	8	11	1	1	3
gene_5409	12	11	26	12	18	13
gene_5410	16	9	12	14	14	9
gene_5411	2	5	11	7	13	0
gene_5412	2	5	2	13	6	7
gene_5413	4	1	5	2	1	8
gene_5414	154	123	112	90	110	138
gene_5415	34	31	13	33	17	11
gene_5416	22	0	22	0	10	0
gene_5417	53	57	107	109	35	43
gene_5418	43	23	32	25	31	31
gene_5419	0	1	2	0	3	0
gene_5420	28	47	52	59	32	19
gene_5421	6	2	24	1	32	7
gene_5422	29	45	43	29	35	80
gene_5423	233	200	315	368	250	428
gene_5424	4	0	3	7	11	0
gene_5425	1112	1066	1013	1055	1160	1344
gene_5426	141	67	136	124	117	188
gene_5427	3	33	9	6	10	22
gene_5428	1	20	4	7	11	9
gene_5429	1101	900	848	1100	1046	1333
gene_5430	7	11	15	20	4	26
gene_5431	4	0	1	0	3	2
gene_5432	0	6	2	7	4	2
gene_5433	28	39	35	21	25	12
gene_5434	54	53	40	74	37	49
gene_5435	76	134	50	105	99	97
gene_5436	24	45	71	36	60	47
gene_5437	7	11	4	2	4	8
gene_5438	6	1	5	4	8	0
gene_5439	7	6	1	1	1	2
gene_5440	0	4	0	2	2	1
gene_5441	78	68	110	80	90	109
gene_5442	13	5	16	13	4	15
gene_5443	17	0	0	1	0	17
gene_5444	0	0	0	6	6	0
gene_5445	30	30	34	21	38	37
gene_5446	1	1	0	0	0	5
gene_5447	101	64	42	56	44	35
gene_5448	7	3	2	4	7	3
gene_5449	29	21	17	32	16	33
gene_5450	4	1	3	1	0	4
gene_5451	16	27	45	47	37	25
gene_5452	76	226	123	144	155	163
gene_5453	0	5	0	1	6	2
gene_5454	25	32	15	12	5	15
gene_5455	29	31	39	6	4	14
gene_5456	177	184	241	261	165	290
gene_5457	32	14	7	27	14	8
gene_5458	221	206	246	249	200	145
gene_5459	44	37	53	42	51	45
gene_5460	133	271	353	261	391	321
gene_5461	0	1	0	0	1	2
gene_5462	89	45	349	29	37	84
gene_5463	29	21	10	22	38	20
gene_5464	48	108	30	46	84	77
gene_5465	0	0	0	0	0	0
gene_5466	25	22	15	28	39	28
gene_5467	35	91	65	70	70	56
gene_5468	71	64	41	54	41	35
gene_5469	146	157	141	131	112	137
gene_5470	3	17	0	11	9	4
gene_5471	10	11	14	13	4	3
gene_5472	0	0	0	0	0	10
gene_5473	24	23	33	28	17	52
gene_5474	34	87	152	56	10	8
gene_5475	77	81	99	100	86	73
gene_5476	2	1	0	0	1	5
gene_5477	25	29	25	32	39	38
gene_5478	1	0	0	2	4	1
gene_5479	0	0	2	3	3	2
gene_5480	10	8	7	0	16	4
gene_5481	4	0	0	0	0	4
gene_5482	220	228	424	203	293	212
gene_5483	0	2	0	0	0	0
gene_5484	71	49	79	72	78	94
gene_5485	0	10	63	7	24	28
gene_5486	0	6	1	1	10	8
gene_5487	122	151	162	100	134	120
gene_5488	72	57	78	57	40	62
gene_5489	13	46	44	52	57	10
gene_5490	63	66	70	62	81	94
gene_5491	5	5	24	4	8	7
gene_5492	1	5	11	8	0	3
gene_5493	4	3	1	6	2	0
gene_5494	85	72	61	53	30	57
gene_5495	6	0	9	23	32	27
gene_5496	54	54	80	84	49	128
gene_5497	0	23	11	6	6	1
gene_5498	97	86	96	55	126	54
gene_5499	0	7	29	1	0	0
gene_5500	25	35	48	26	36	26
gene_5501	19	20	18	14	29	21
gene_5502	0	10	7	9	2	3
gene_5503	5	2	6	11	7	0
gene_5504	62	56	68	56	60	39
gene_5505	194	203	179	225	201	236
gene_5506	455	521	617	518	481	646
gene_5507	74	65	56	36	41	57
gene_5508	66	38	85	85	35	46
gene_5509	66	9	37	12	21	42
gene_5510	3	0	2	9	0	4
gene_5511	8	12	22	10	8	18
gene_5512	290	174	98	341	321	129
gene_5513	11	0	1	0	0	1
gene_5514	16	1	4	7	0	0
gene_5515	0	1	5	3	4	0
gene_5516	116	127	134	99	170	111
gene_5517	2	4	6	3	0	0
gene_5518	6	4	6	9	2	8
gene_5519	1	0	0	22	2	1
gene_5520	42	97	48	72	70	47
gene_5521	1	0	5	5	2	0
gene_5522	0	1	3	0	0	0
gene_5523	89	156	68	139	101	85
gene_5524	7	4	1	1	5	1
gene_5525	16	78	28	53	45	14
gene_5526	5	1	10	0	0	6
gene_5527	57	60	67	57	55	53
gene_5528	79	38	116	63	145	26
gene_5529	3	84	41	34	1	22
gene_5530	0	8	0	10	3	11
gene_5531	35	27	60	40	41	29
gene_5532	98	54	76	112	17	45
gene_5533	14	15	17	9	17	18
gene_5534	32	26	9	21	30	22
gene_5535	8	10	5	8	6	3
gene_5536	30	49	45	46	25	32
gene_5537	139	135	199	127	131	146
gene_5538	5	1	2	4	0	2
gene_5539	206	177	186	207	182	224
gene_5540	2	0	1	0	1	2
gene_5541	350	201	172	199	284	183
gene_5542	3	1	9	0	4	5
gene_5543	34	44	32	36	21	30
gene_5544	6	9	4	43	112	36
gene_5545	90	100	102	58	76	58
gene_5546	30	36	62	31	32	45
gene_5547	3	1	4	0	5	4
gene_5548	224	170	246	358	299	373
gene_5549	0	7	0	3	7	0
gene_5550	122	113	78	115	65	173
gene_5551	149	246	105	114	86	143
gene_5552	36	61	32	48	64	77
gene_5553	0	0	0	8	0	3
gene_5554	5	17	1	5	5	0
gene_5555	1	1	0	1	4	1
gene_5556	0	2	0	2	0	0
gene_5557	4	9	8	22	0	6
gene_5558	15	16	8	12	7	12
gene_5559	0	0	0	2	0	1
gene_5560	51	69	17	27	33	28
gene_5561	0	2	2	1	0	0
gene_5562	116	146	105	93	68	72
gene_5563	29	38	52	36	48	28
gene_5564	31	0	1	26	0	5
gene_5565	30	0	13	2	0	5
gene_5566	30	42	39	54	20	83
gene_5567	18	8	14	4	26	32
gene_5568	29	31	34	40	36	31
gene_5569	16	79	24	39	29	22
gene_5570	0	0	1	2	6	7
gene_5571	9	23	28	7	36	21
gene_5572	25	19	25	33	19	19
gene_5573	21	0	0	1	0	0
gene_5574	0	1	1	0	0	2
gene_5575	95	81	108	14	91	54
gene_5576	2	0	3	1	0	0
gene_5577	53	37	25	40	13	27
gene_5578	3471	3153	2286	3689	2855	3264
gene_5579	0	0	0	1	3	0
gene_5580	52	29	12	61	12	33
gene_5581	0	0	0	0	0	0
gene_5582	3	0	1	0	0	0
gene_5583	1	0	3	0	1	3
gene_5584	204	141	160	162	225	153
gene_5585	26	3	2	2	9	0
gene_5586	423	396	630	483	204	340
gene_5587	0	0	1	1	0	0
gene_5588	3	0	0	1	0	1
gene_5589	10	27	9	8	14	29
gene_5590	12	1	0	0	3	0
gene_5591	0	0	0	0	5	1
gene_5592	11	15	7	15	12	8
gene_5593	7	20	4	2	1	5
gene_5594	116	48	99	139	59	76
gene_5595	13	3	8	9	21	11
gene_5596	4	0	0	0	2	0
gene_5597	35	105	28	146	42	18
gene_5598	13	47	38	74	10	26
gene_5599	27	34	28	26	11	24
gene_5600	23	59	29	57	16	27
gene_5601	2328	1474	1519	3999	857	2381
gene_5602	77	72	87	59	60	65
gene_5603	3	1	1	0	0	0
gene_5604	1	7	3	0	12	1
gene_5605	47	31	16	36	29	21
gene_5606	1	0	2	0	0	0
gene_5607	119	157	119	148	153	148
gene_5608	30	39	42	22	30	20
gene_5609	1048	1138	1078	1033	1164	1000
gene_5610	10	2	0	2	0	0
gene_5611	2	1	3	2	2	1
gene_5612	3	3	3	6	4	7
gene_5613	0	0	0	0	4	0
gene_5614	142	193	143	142	122	140
gene_5615	5	7	2	7	5	1
gene_5616	0	1	0	2	0	0
gene_5617	2	2	1	0	0	1
gene_5618	11	7	2	47	10	3
gene_5619	637	1401	604	1137	1694	940
gene_5620	1378	1420	1613	1267	1684	1309
gene_5621	32	60	49	45	28	44
gene_5622	25	8	12	22	16	19
gene_5623	0	3	2	0	12	3
gene_5624	0	0	0	1	1	1
gene_5625	0	0	0	0	0	0
gene_5626	25	24	31	19	23	29
gene_5627	44	16	31	73	91	45
gene_5628	22	15	23	62	11	33
gene_5629	42	100	87	59	118	80
gene_5630	0	2	0	3	1	0
gene_5631	11	17	44	16	21	14
gene_5632	4	22	41	0	12	1
gene_5633	0	1	0	0	0	0
gene_5634	8	2	35	11	0	6
gene_5635	137	106	45	237	146	157
gene_5636	26	5	12	15	9	1
gene_5637	22	16	18	25	22	20
gene_5638	84	71	82	67	102	68
gene_5639	82	92	50	45	68	53
gene_5640	112	133	103	52	228	171
gene_5641	34	37	65	44	58	39
gene_5642	50	45	36	55	52	44
gene_5643	22	17	14	24	21	15
gene_5644	10	12	9	14	11	29
gene_5645	2	2	0	0	2	6
gene_5646	0	7	0	8	2	5
gene_5647	67	54	72	75	72	79
gene_5648	16	9	15	25	22	7
gene_5649	0	0	1	0	0	0
gene_5650	0	0	0	0	5	0
gene_5651	2	1	1	1	1	2
gene_5652	1	3	1	6	14	2
gene_5653	114	24	105	77	150	143
gene_5654	2	6	2	3	0	5
gene_5655	18	55	39	63	26	110
gene_5656	0	2	1	2	0	1
gene_5657	2	2	1	2	9	0
gene_5658	1	5	2	0	3	1
gene_5659	78	97	138	125	180	81
gene_5660	86	74	72	98	69	55
gene_5661	6	15	31	2	28	12
gene_5662	2	0	0	0	0	0
gene_5663	38	8	22	18	26	10
gene_5664	0	0	1	1	0	1
gene_5665	0	5	0	1	15	4
gene_5666	0	2	0	0	0	0
gene_5667	24	18	31	11	19	18
gene_5668	4	20	8	21	8	58
gene_5669	0	3	2	0	3	2
gene_5670	2	12	25	1	5	2
gene_5671	31	24	23	19	30	29
gene_5672	8	0	2	2	4	0
gene_5673	76	55	32	34	66	28
gene_5674	17	12	7	3	13	12
gene_5675	97	200	147	213	188	123
gene_5676	12	0	7	17	7	7
gene_5677	1	1	0	0	0	0
gene_5678	40	32	22	44	56	24
gene_5679	69	38	28	37	14	31
gene_5680	52	14	42	48	27	29
gene_5681	1	2	1	7	2	2
gene_5682	22	29	11	33	28	28
gene_5683	423	365	631	317	348	409
gene_5684	0	0	0	1	0	0
gene_5685	0	0	1	1	0	0
gene_5686	0	0	0	1	0	4
gene_5687	21	28	25	21	17	19
gene_5688	103	152	145	92	103	118
gene_5689	9	8	7	20	22	8
gene_5690	27	54	4	25	7	24
gene_5691	0	1	3	0	2	1
gene_5692	104	61	31	33	44	40
